name,latitude,longitude,rating,rating_count
Whirl Lan Bay View Restaurant,24.0666929,121.6073552,4.7,4572
Zhu Chuan Ri Shi Izakaya Restaurant,23.9782567,121.6069556,4.7,411
Truku的屋頂,24.1543676,121.6228946,4.6,856
Apo Beef Noodle Restaurant,23.9785397,121.6141493,4.6,619
Gang Yin Gang Shi Dim Sum Restaurant,23.9785427,121.6018711,4.5,631
參火木牛排館（花蓮高級餐廳、慶生餐廳、會議包場、花蓮美食、restaurant、Steaks),23.9774783,121.6029303,4.5,529
闔家歡南北餚餐館-Family Pleasure,23.9744471,121.5984436,4.4,3256
巴奇克竹坊,24.08450615,121.6210727,4.3,536
郭巴風味餐-花蓮秀林原住民風味料理 特色道地美食 2024必吃平價餐廳,24.15317572,121.7197075,4.7,1037
達基力部落屋-田媽媽風味餐廳,24.15995074,121.6559238,4,2398
,,,,
,,,,
"[0, '10.7 km', '12.7 km', '13.8 km', '10.8 km', '11.0 km', '11.7 km', '1.9 km', '9.9 km', '12.8 km']",,,,
"['12.2 km', 0, '23.7 km', '1.0 km', '0.7 km', '0.6 km', '1.2 km', '13.0 km', '1.3 km', '23.9 km']",,,,
"['14.3 km', '25.0 km', 0, '26.9 km', '25.1 km', '25.2 km', '25.9 km', '12.7 km', '24.2 km', '4.3 km']",,,,
"['12.2 km', '1.0 km', '23.8 km', 0, '1.5 km', '1.3 km', '1.8 km', '13.0 km', '2.1 km', '23.9 km']",,,,
"['12.2 km', '0.7 km', '23.8 km', '1.5 km', 0, '0.2 km', '0.9 km', '13.0 km', '1.3 km', '23.9 km']",,,,
"['12.4 km', '0.6 km', '24.0 km', '1.3 km', '0.2 km', 0, '0.7 km', '13.2 km', '1.5 km', '24.1 km']",,,,
"['13.1 km', '1.2 km', '24.7 km', '1.8 km', '0.9 km', '0.7 km', 0, '13.9 km', '2.2 km', '24.8 km']",,,,
"['1.8 km', '12.5 km', '11.1 km', '14.6 km', '12.6 km', '12.8 km', '13.5 km', 0, '11.7 km', '11.2 km']",,,,
"['10.9 km', '1.3 km', '22.5 km', '2.0 km', '1.3 km', '1.5 km', '2.2 km', '11.7 km', 0, '22.6 km']",,,,
"['12.7 km', '23.5 km', '6.4 km', '25.4 km', '23.5 km', '23.7 km', '24.4 km', '11.2 km', '22.7 km', 0]",,,,
