name,latitude,longitude,rating,rating_count
八通關古道東段登山口,23.3289391,121.2348658,4.7,587
Lisong Hot Springs,23.1979087,121.0371977,4.6,717
Sixty Stone Mountain,23.222019,121.316551,4.6,4524
East Coast National Scenic Area,23.0201614,121.3245523,4.5,14062
Jinzun Lulian Island,22.9495834,121.2871816,4.5,640
Sanxiantai Arch Bridge,23.12367,121.4129019,4.5,7796
六十石山金針花海,23.2209221,121.31118,4.5,5841
Great View Pavilion,23.1032101,121.212519,4.4,1330
千噸石龜,23.403831,121.4017714,4.4,632
Dawan Recreation Area,23.5323064,121.5070537,4.4,516
,,,,
,,,,
"[0, '74.7 km', '23.7 km', '65.6 km', '86.5 km', '51.7 km', '23.2 km', '36.2 km', '37.5 km', '72.0 km']",,,,
"['74.6 km', 0, '64.5 km', '94.9 km', '114 km', '98.1 km', '63.6 km', '46.0 km', '89.5 km', '118 km']",,,,
"['23.2 km', '64.5 km', 0, '60.6 km', '81.4 km', '46.7 km', '1.3 km', '26.0 km', '38.1 km', '67.0 km']",,,,
"['65.7 km', '94.9 km', '61.0 km', 0, '21.8 km', '16.5 km', '60.6 km', '56.4 km', '70.3 km', '66.6 km']",,,,
"['74.7 km', '95.9 km', '70.1 km', '10.0 km', 0, '25.5 km', '69.6 km', '57.4 km', '79.3 km', '75.7 km']",,,,
"['51.6 km', '97.9 km', '46.9 km', '16.3 km', '37.1 km', 0, '46.5 km', '59.4 km', '56.2 km', '52.5 km']",,,,
"['22.8 km', '63.6 km', '1.3 km', '60.2 km', '81.0 km', '46.2 km', 0, '25.1 km', '37.7 km', '66.6 km']",,,,
"['36.1 km', '46.0 km', '26.0 km', '56.4 km', '69.2 km', '59.6 km', '25.1 km', 0, '51.0 km', '79.9 km']",,,,
"['37.4 km', '89.5 km', '38.6 km', '70.3 km', '91.1 km', '56.3 km', '38.1 km', '51.1 km', 0, '62.6 km']",,,,
"['89.1 km', '135 km', '84.4 km', '83.6 km', '104 km', '69.7 km', '84.0 km', '96.9 km', '77.3 km', 0]",,,,
