name,latitude,longitude,rating,rating_count
屋賀爺燒肉(台東總店)台東美食 台東美食推薦 台東餐廳 台東燒肉 台東宵夜 台東必吃 台東restaurant,22.7563981,121.152473,4.9,6781
池上豐禾日麗 文田館,23.1290057,121.2183397,4.8,340
王記 鬼頭刀專賣店,23.1029493,121.3776888,4.7,2686
Wow's Pangcah,22.753077,121.147256,4.6,707
Taitung Spice House Exotic Indian & Thai Cuisine,22.7518609,121.1320611,4.6,374
Alamu kitchen 阿拉慕廚房,22.7494607,121.1517242,4.5,681
熱帶低氣壓 Low Pressure Restaurant & Guesthouse,22.9665949,121.3005423,4.5,722
億品鍋 Mini Shabu Shabu 台東店,22.7744708,121.1293923,4.5,983
MAHI MAHI TODAY,22.7722551,121.1317454,4.4,2748
卡滋爾鬼頭刀特色美食,23.1041599,121.3784433,4.4,893
,,,,
,,,,
"[0, '52.7 km', '51.0 km', '0.8 km', '2.6 km', '1.2 km', '32.6 km', '3.1 km', '2.8 km', '51.1 km']",,,,
"['52.9 km', 0, '57.8 km', '52.7 km', '52.3 km', '53.3 km', '51.1 km', '48.9 km', '49.2 km', '57.7 km']",,,,
"['51.0 km', '57.8 km', 0, '51.6 km', '54.2 km', '51.0 km', '18.5 km', '52.9 km', '52.5 km', '0.2 km']",,,,
"['0.8 km', '52.2 km', '51.6 km', 0, '2.1 km', '0.6 km', '33.2 km', '3.1 km', '2.8 km', '51.7 km']",,,,
"['2.6 km', '52.5 km', '54.2 km', '2.1 km', 0, '2.8 km', '35.9 km', '4.1 km', '3.3 km', '54.3 km']",,,,
"['1.2 km', '52.8 km', '51.0 km', '0.6 km', '2.8 km', 0, '32.6 km', '3.8 km', '3.4 km', '51.1 km']",,,,
"['32.6 km', '51.1 km', '18.5 km', '33.2 km', '35.9 km', '32.6 km', 0, '34.5 km', '34.2 km', '18.6 km']",,,,
"['3.2 km', '48.9 km', '53.3 km', '3.1 km', '4.2 km', '3.7 km', '34.9 km', 0, '0.3 km', '53.4 km']",,,,
"['2.8 km', '49.3 km', '53.4 km', '2.8 km', '3.3 km', '3.4 km', '35.0 km', '0.3 km', 0, '53.5 km']",,,,
"['51.0 km', '57.7 km', '0.3 km', '51.7 km', '54.3 km', '51.1 km', '18.6 km', '53.0 km', '52.6 km', 0]",,,,
