"name","latitude","longitude","rating","rating_count"
"琉璃仙境休閒農場","23.9417999","120.5816969","4.7","1476"
"Zhongxingxincun Children's Park","23.9492224","120.6940399","4.5","1791"
"南投燈會水舞廣場","23.9258732","120.682934","4.5","804"
"省府日常散策","23.9387956","120.6999278","4.5","195"
"Zhongxingxincunqinqing Park","23.9561989","120.6867729","4.4","435"
"阿罩霧步道觀景平臺","24.0583187","120.7228515","4.4","851"
"Minsheng House of Microhistory","24.0394172","120.6926991","4.4","928"
"Shetou Doushan Shrine","23.8829298","120.6049983","4.4","115"
"Arch of Zhongxing New Village","23.9565144","120.6855628","4.3","1401"
"Hawk-Watching Terrace","23.896105","120.633138","4.3","172"
"Wufengquazhaowu Park","24.0593847","120.6998358","4.3","410"

[0, '14.2 km', '14.3 km', '15.4 km', '13.0 km', '26.7 km', '22.9 km', '9.8 km', '12.8 km', '11.3 km']
['14.2 km', 0, '5.6 km', '1.5 km', '1.5 km', '23.4 km', '19.6 km', '19.7 km', '1.4 km', '10.7 km']
['14.3 km', '5.6 km', 0, '4.3 km', '4.4 km', '24.2 km', '20.4 km', '20.4 km', '4.3 km', '7.8 km']
['15.4 km', '1.5 km', '4.3 km', 0, '2.6 km', '24.9 km', '21.1 km', '21.1 km', '2.8 km', '9.7 km']
['13.0 km', '1.5 km', '4.4 km', '2.6 km', 0, '22.2 km', '18.5 km', '18.5 km', '0.2 km', '10.3 km']
['26.7 km', '23.4 km', '24.2 km', '24.9 km', '22.2 km', 0, '7.0 km', '31.7 km', '22.9 km', '29.5 km']
['22.9 km', '19.6 km', '20.4 km', '21.1 km', '18.5 km', '7.0 km', 0, '28.1 km', '10.7 km', '21.1 km']
['9.8 km', '19.7 km', '20.4 km', '21.1 km', '18.5 km', '31.7 km', '28.1 km', 0, '17.6 km', '13.7 km']
['12.8 km', '1.4 km', '4.3 km', '2.8 km', '0.2 km', '22.9 km', '10.7 km', '17.6 km', 0, '10.1 km']
['11.3 km', '10.7 km', '7.8 km', '9.7 km', '10.3 km', '29.5 km', '21.1 km', '13.7 km', '10.1 km', 0]
