"name","latitude","longitude","rating","rating_count"
"獅潭幸福牛奶草莓園","24.4694955","120.8865612","4.7","186"
"蓮臺山","24.4657084","120.9052015","4.6","197"
"Haowangjiao Parking","24.599936","120.731986","4.5","133"
"Houlong Cape of Good Hope","24.601974","120.731191","4.4","15057"
"Green Fantasy Forest","24.497994","120.768682","4.4","1792"
"協雲宮櫻花步道","24.4957386","120.8771225","4.4","1642"
"Golden Town 苗栗","24.8833811","67.1648709","N/A","N/A"
"Guogang Tunnel","24.5993889","120.7252208","4.3","2005"
"Houlong Riverside Park","24.5716029","120.842288","4.3","443"
"鳴鳳山遊憩區","24.5504867","120.9052924","4.2","183"
"Gong Wei Xu Tunnel","24.5543568","120.8109621","4.2","4027"

[0, '4.9 km', '39.0 km', '39.3 km', '18.4 km', '5.9 km', '23.9 km', '39.4 km', '23.1 km', '15.4 km']
['4.9 km', 0, '43.1 km', '43.3 km', '22.4 km', '10.8 km', '28.0 km', '43.5 km', '27.1 km', '20.3 km']
['39.0 km', '43.1 km', 0, '0.2 km', '17.2 km', '31.7 km', '13.3 km', '1.6 km', '17.7 km', '27.0 km']
['39.3 km', '43.3 km', '0.2 km', 0, '17.5 km', '31.9 km', '13.5 km', '1.9 km', '17.9 km', '27.2 km']
['18.4 km', '22.4 km', '17.2 km', '17.5 km', 0, '16.8 km', '10.5 km', '17.8 km', '15.6 km', '29.9 km']
['5.9 km', '10.8 km', '31.7 km', '31.9 km', '16.8 km', 0, '15.1 km', '32.0 km', '15.3 km', '18.0 km']
['23.9 km', '28.0 km', '13.3 km', '13.5 km', '10.5 km', '15.1 km', 0, '13.7 km', '3.1 km', '14.1 km']
['39.4 km', '43.5 km', '1.6 km', '1.9 km', '17.8 km', '32.0 km', '13.7 km', 0, '18.1 km', '27.4 km']
['23.1 km', '27.1 km', '17.7 km', '17.9 km', '15.6 km', '15.3 km', '3.1 km', '18.1 km', 0, '12.7 km']
['15.4 km', '20.3 km', '27.0 km', '27.2 km', '29.9 km', '18.0 km', '14.1 km', '27.4 km', '12.7 km', 0]
