"name","latitude","longitude","rating","rating_count"
"Hsinchu Touqianxi Bridge Left Bank Cherry Blossom Trail","24.8205635","120.9931919","4.6","141"
"香山阿母文創館","24.7734308","120.9164266","4.6","141"
"Fēngqíng Wetland Coast","24.7787535","120.9144783","4.5","613"
"17公里海岸自行車道","24.849353","120.928158","4.5","327"
"Jin Shin Lake","24.7796338","121.0125696","4.4","2465"
"Tsing-Chiao Path","24.7906632","120.9957147","4.4","161"
"Tiangongtan Park","24.799498","120.957721","4.4","3201"
"Shuizhen Forest Park","24.81006499999999","121.0356464","4.4","3793"
"Hsinchu Park","24.8009158","120.9773254","4.4","6984"
"Heart of Hsinchu","24.8041894","120.9704208","4.3","228"
"19 Hectares Grassland","24.7726541","120.9254811","4.3","8508"

[0, '10.7 km', '15.6 km', '8.6 km', '6.9 km', '6.7 km', '5.1 km', '5.6 km', '3.8 km', '3.6 km']
['15.5 km', 0, '1.1 km', '10.1 km', '18.9 km', '19.3 km', '5.7 km', '24.2 km', '8.0 km', '7.4 km']
['14.5 km', '1.1 km', 0, '9.1 km', '19.7 km', '20.1 km', '5.4 km', '20.1 km', '7.7 km', '7.1 km']
['7.5 km', '10.3 km', '9.2 km', 0, '14.4 km', '14.3 km', '9.1 km', '13.2 km', '8.8 km', '8.4 km']
['7.0 km', '18.9 km', '19.8 km', '13.5 km', 0, '2.9 km', '7.8 km', '5.8 km', '5.0 km', '5.7 km']
['5.8 km', '18.8 km', '19.6 km', '14.8 km', '2.9 km', 0, '6.1 km', '8.3 km', '4.1 km', '4.8 km']
['6.1 km', '5.7 km', '5.4 km', '9.2 km', '7.8 km', '6.9 km', 0, '11.7 km', '2.7 km', '1.5 km']
['7.1 km', '24.2 km', '20.2 km', '13.3 km', '6.9 km', '6.7 km', '12.0 km', 0, '8.8 km', '9.4 km']
['3.5 km', '8.0 km', '7.7 km', '11.1 km', '4.8 km', '3.9 km', '2.6 km', '8.5 km', 0, '1.6 km']
['3.5 km', '7.4 km', '7.1 km', '8.6 km', '7.0 km', '6.1 km', '1.8 km', '8.5 km', '1.0 km', 0]
