"name","latitude","longitude","rating","rating_count"
"Marunouchi Square","35.6815604","139.7654768","4.5","3299"
"Asakusa Culture Tourist Information Center","35.7107074","139.7965461","4.4","3147"
"Kishamichi Promenade","35.4528701","139.6345294","4.4","888"
"Yume no Hiroba","35.6268349","139.780792","4","565"
